





khong co gi, 1, 2, 123, 145, 157, 169, 10, 1200, 0, 300


khong co gi, 1, 2, 123, 145, 157, 169, 10, 1200, 0, 300
khong co gi, 4, 3, 123, 145, 157, 169, 10, 1200, 0, 300
khong co gi, 4, 3, 123, 145, 157, 169, 10, 1200, 0, 300
khong co gi, 6, 5, 123, 145, 157, 169, 10, 1200, 0, 300
khong co gi, 6, 5, 123, 145, 157, 169, 10, 1200, 0, 300
khong co gi, 6, 5, 123, 145, 157, 169, 10, 1200, 0, 300

 khong, 8, 6, 120, 130, 150, 160, 10, 300, 0, 0
khong, 8, 6, 120, 130, 150, 160, 10, 300, 0, 0

 khong, 8, 6, 120, 130, 150, 160, 10, 300, 0, 0
 khong, 8, 11, 120, 220, 100, 110, 1, 0, 0, 0


 khong, 12, 2, 140, 150, 150, 160, 170, 2, 200, 300

 khong, 12, 1, 150, 160, 150, 160, 2, 500, 0, 0

 khong, 12, 1, 150, 160, 150, 160, 2, 500, 0, 0

 khong, 12, 1, 150, 160, 150, 160, 2, 500, 0, 0

 khong, 15, 4, 120, 130, 140, 150, 5, 500, 500, 0

 khong, 15, 4, 120, 130, 140, 150, 5, 500, 500, 0
 khong, 16, 12, 120, 135, 120, 160, 2, 500, 0, 0
